2022-08-03 00:00:01_T:29.94_H:59.6
2022-08-03 01:00:01_T:29.77_H:60.1
2022-08-03 02:00:02_T:29.51_H:60.4
2022-08-03 07:22:08_T:27.87_H:61.3
2022-08-03 07:22:10_T:27.89_H:61.2
2022-08-03 07:22:12_T:27.89_H:61.2
2022-08-03 07:22:14_T:27.89_H:61.2
2022-08-03 07:22:16_T:27.86_H:61.3
2022-08-03 07:22:17_T:27.87_H:61.2
2022-08-03 07:22:18_T:27.93_H:61.2
2022-08-03 07:22:20_T:27.90_H:61.2
2022-08-03 07:22:21_T:27.96_H:61.2
2022-08-03 07:22:23_T:27.87_H:61.2
2022-08-03 07:25:00_T:27.87_H:61.3(0 essias)
2022-08-03 07:25:01_T:27.84_H:61.2(0 essias)
2022-08-03 07:25:02_T:28.02_H:61.3(0 essias)
2022-08-03 07:25:03_T:27.94_H:61.3(0 essias)
2022-08-03 07:25:05_T:27.91_H:61.3(0 essias)
2022-08-03 07:25:06_T:27.86_H:61.3(0 essias)
2022-08-03 07:25:07_T:27.87_H:61.2(0 essias)
2022-08-03 07:25:08_T:27.94_H:61.3(0 essias)
2022-08-03 07:25:09_T:27.89_H:61.2(0 essias)
2022-08-03 07:25:10_T:27.91_H:61.2(0 essias)
2022-08-03 07:25:10_T:27.89_H:61.2(0 essias)
2022-08-03 07:25:11_T:27.86_H:61.2(0 essias)
2022-08-03 07:25:12_T:27.94_H:61.2(0 essias)
2022-08-03 07:25:13_T:27.87_H:61.2(0 essias)
2022-08-03 07:25:14_T:27.90_H:61.2(0 essias)
2022-08-03 07:25:15_T:27.90_H:61.2(0 essias)
2022-08-03 07:25:16_T:27.91_H:61.2(0 essias)
2022-08-03 07:25:16_T:27.93_H:61.2(0 essias)
2022-08-03 07:25:17_T:27.87_H:61.2(0 essias)
2022-08-03 07:25:18_T:27.89_H:61.2(0 essias)
2022-08-03 07:27:39_T:27.87_H:61.2(1 essais)
2022-08-03 07:27:40_T:27.91_H:61.2(1 essais)
2022-08-03 07:27:41_T:27.84_H:61.2(1 essais)
2022-08-03 07:27:42_T:27.94_H:61.2(1 essais)
2022-08-03 07:27:43_T:27.88_H:61.2(1 essais)
2022-08-03 07:27:44_T:27.86_H:61.2(1 essais)
2022-08-03 07:27:45_T:28.03_H:61.3(1 essais)
2022-08-03 07:27:48_T:27.98_H:61.3(1 essais)
2022-08-03 07:27:49_T:27.94_H:61.2(1 essais)
2022-08-03 07:27:50_T:28.01_H:61.2(1 essais)
2022-08-03 23:47:15_T:30.87_H:59.0(1)
2022-08-03 23:47:19_T:30.96_H:59.0(1)
